text,sentiment
   lichfield  tweetup sounds like fun  hope to see you and everyone else there ,2
big booming thunder storm almost here   maybe we can all go home early     ah    probably not ,1
few bevvies  in twn  great on a day off  ,2
first night in myers  just not the same w out lydia   but i m actually excited about this summer ,2
 good morning,2
 its the best show ever ,2
url in previous post  to timer job  should be  i d removed space which messed up url    es,0
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha  l  ,1
 i want to know when the auditions are mander  text or   reply please ,1
or even nooooo not the secret namerebecca please,0
 i miss my neice  can t wait to see her bad n grown       lol,0
i need to get my computer fixed,1
really hopes her car s illness is not terminal   ,0
all the cool people i want to find for following today are  english  and i guess the english don t tweet ,1
 no sir   i woulda put honey   but i don t have any,1
who watched x men origins  wolverine  i totally loved it  haha,2
 i voted    do u have a personal myspace  i keep talking to fakes   i   you  u helped me thru the hrdest time of my life     x,2
 i m sad that i missed you guys last night ,0
finally got a call for marriage counseling  days late    ,1
 ok then,1
 why baby ,1
today was the last day of high school for me and i ended up going home sick      stupid dead rats,0
we re having an impromptu pool party    except i don t know how to swim so i can t get in,1
lost my tooth  whilst i was eating gum   oww,0
happy  year   ,2
oh  i hella forgot to say my official good morning  like to hear it  here it go  goooooooooooood morrrrrrrrning twitterville  lol,2
  phew   will make a note in case anyone else runs into the same issueã â â½,1
  what about me     i vote every day for you      ,0
i m starving   this diet is killing me but i can t eat after ,0
 i talk to you,1
im soo bored   im deffo missing my music channels,0
 nite nite bday girl  have fun at concert,2
had nicotine replacement patch on for  hours  so far  so good  but i did sleep for most of those  hours  getting a bit twitchy now,1
sanderson what s with twatter lately   either i can t get on or the replies don t turn up ,1
should be sleeping   lost my voice a couple day ago ,0
    hate when my parked car gets hit,0
 i ve heard this fall  i m waiting too ,1
 more nightmares    huggles ,1
i am such a creeper  i feel disappointed because of it       my cyberstalking skills   the internet   no more privacy ,0
going to bed its late and i have headache,0
happy mother s day to all moms out there   ,2
grabbing coffee from  then making mom breakfast,1
im thinking that im going to have fun tonight    and maybe some changes are coming,2
 thanks  before the major chop ,1
 haha i know  i cant handle the fame   and thank you ,2
just got up and updated my ipod,1
 yes  sober hahaha tanghaling tapat dude  haha wild  i don t knowwww  plan plan  before you go to us ,2
 we never miss icarly   my son has a huge crush on miranda,2
saw james carville in the store today  his head is really that bald,1
yellow for     ,1
 which means you re just going to have to come back to vancouver and have it our way  hahah,1
feeling smooth like chrome,2
ew traffic,0
downloading songs while trying to sneak a lil homework in too  which should be my main priority not songs lol,1
 rara your not alone   i need coffee too ,1
 sounds like me,1
bad day  the day you realize what mess you ve put me through will be one of the happiest days of my life   ,1
walking to class  i hate not having a bike    especially mine ,0
nesmith,1
failed inspection  did you know you can pass wo oven  but not wo anti tip bracket  which is only sold w oven  this is worse than taxes ,0
jonas brothers   live to party                 it s rocking so hard     i love the song ,2
happy mother s day to all the mothers in the world ,2
 through the   google wave demo  that looks a lot of fun  would love to test it though   ,2
sleepy tabz is heading to bed   fun night  listened through the next episode of joss d ,2
the exception for a short dude  larenz fineass tate yum,1
screw the reviews  i thought wolverine was awesome  but not enough dominic monaghan for my liking ,2
if you followed us recently  please dont be offended that we haven t followed back  we hit our limit    hopefully we will be free soon ,2
 yes i work  to    ,1
 hmmm  maybe that s what they meant  they eluded to something brand new but you know how the media is,1
done at the spa   now meeting vic for some late lunch ,1
happy monday  up and about going to tavares today  hope everyone has a blessed day ,2
 always have wanted to go to oz,1
 thx,1
    cool    luv it,2
  that s why i need to be there   to represent the blackberries,2
okay so i m dedicating my  tweet to the fact that i m going to the apple store because there is a huge crack on the glass screen ,1
 if only we could ever actually be allowed to stay here and do that,1
 let me know how that turns out  ,1
 was that sass i detect   as long as it isn t back sass  haha,1
 yeah i was thinking about that  ahaha,2
 sports bar shatranjanpoli rest ph  all sports bar andheri w  dont know whether that helps  google ki jai ho,1
i m not sleeping at all until  accepts my appology,0
wolverine was boss  seriously  and will i am was in it  what the        ,0
 i live for pain  bring it on,1
okay  i m out for a while  back later ,1
   powerblog what is this powerblog challenge you keep talking about   i m a newbie follower,1
almost died  laptop screen was set to   brightness after i reinstalled windows vista  got a headache now   insanedefaults,2
waiting for tish to get off  got to drive my moms crv to pick her up all my myself and duckie  first time,1
trying to decide on a movie with the friends   not going to well  lol  p  no bible study   which means      day cake  buy my own  ,0
going to shower because i don t want to smell at school tomorrow,1
 sigh    you know i am   ,1
discovered cause of a bug in the new  netplayer  build  publishing bug fix now  hopefully new beta by tomorrow,2
here are  free twitter tools will get you followers     ,1
just got home from work     and is chugging down a big bottle of apple juice ,1
 yes it does  please dont  go  if you die i will cry   which normally leads to small animals getting harmed,0
writing report cards  soooo tired but what an amazing day  check it out on fb soon ,2
 it was only once for my big brother   and i m done now,1
good news  finally finished my  easactive workout that has been paused for  hours  bad news  my resistance band is torn,1
well good morning all  what a wonderful day in the neighborhood  thanks for all those that are now following another  this morning,2
ftsk and mercy mercedes were amazing tonight   as always,2
  hope he is ok ,2
can t school just be done already  it hurts too much    seeing him every day,2
i waited  listening to wind blowing through the tumbleweed  are none of you old enough to know what to do when someone says  crackerack  ,1
 hell yeah ,1
 him shirt at dinner  do you need to ask    does it actually have ville on it ,1
 i know  ,1
 huh what the       smelly  noooo  i love alex vixon,1
went to a party last night  dindin and i showed up in matching outfits   great minds think alike   anyway  happy birthday  ate lara,2
 happy b day  just woke up on this side of earth  so wishes are bit late,2
thank you for teaching me values and to be a better person each day  i love so much  you re the best mum in the world,2
happy mothers day  ,2
  laughs  i m glad that you have self confidence   it s a wonderful trait to have  i ll applaud extra loud for it  okay ,2
  thanks,2
twittering after  days ,1
getting ready for week  its too nice today to be stuck inside working ,2
i am tres depressed,0
felt like       behaved like my son  ate to compensate  pigged out on home roasted sugar almonds  painful tum  threw up  still feel sick ,0
happy mothers day people  i love my mom a lot still,2
 i m sorry to hear that ,0
 that s awesome dude  yay for surprise celebrities   i got to meet him a few years ago  he was soooo friendly ,2
 it makes me happy to hear a girl talk  or tweet  about the nba  but    could you give my nuggets some love  ,2
is getting the hang of twitter ,1
you know your neck is jacked up when you are forced to pay for parking bc you can t turn you head to parallel park in the free spaces   ,0
i want it back now   ,1
going to miss my roomie     we will no longer be roomies starting tomorrow,0
bathing with two little angels  keyla and janice ,1
 yep  finished  chocked full of spelling and grammatical errors  but i m cleaning it up tomorrow and popping it up  hehe,0
 hahahha lol true that  i always remember my bd but i can never remember what date or even day it is,1
family is here hanging with them,1
watching ellen love her   then doing the dishes  and tanning    it s gorgeous out ,2
 what s goin on hun   i m worried about you,0
 im not bannished    but i am at work till ,0
 morning  if i get to see it  i ll let you know  right now  i m going to go see wolverine ,1
 red top tabloids  build em up  knock em down,1
tonight in party w  my girls  minus vita ,2
  why not now you made me sad i thought you d be jumping for joy,1
 simple my a  ,1
the pics i just uploaded are the baby pics of my cats  missy is now an adult and a pretty little kitty  but batty is in kitten heaven now,1
 i saw the play of it here  it was amazing,2
  i am glad to break my twitter virginity with you two ,2
dinner with the fam    i have missed them,0
live that s what i want  more the better  bound to be a few bad eggs though  but they will soon learn ,1
hell yeah kellynn got a twitter  finally ,1
 i know   it was worth a shot  though ,2
just opened a facebook account  i m a little confused i don t really get it  twitter seems much better,2
ship  i m stuck ,0
dustbin baby on at   cannot wait  x,2
 not going to dwell on it  it happened  it s passed  just a shame as he was so supportive  such is life   x,0
it looks like the office tv does get mlb network    and it looks like mlbn will not be televising the det bal game today   wieters,1
home empty handed   no comics found today   i shall now indulge in my cupcakes from magnolia bakery ,1
laying in bed til workkk    oh the life  definitely pinched a nerve ,0
today is a busy day  exhausting ,0
 i was going to go on sunday  but now i ve got too much going on that weekend,1
 sorry to hear ur flight got cancelled  that blows   ,0
ohh my tooth is hurts ohh  im sad it very hurts,0
before i get too distracted  i d like to thank my new followers for taking the trouble to follow me  and to my others  feelin the love,2
 u think u have bills ha ii just finished paying mine that s y i m broke,0
 not sure it didn t say it was  big  i jst saw the pics of u on ur last bday  you looked so pretty   i miss you  ,1
sore throat  planning the tet outing to marwell though   good times,1
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,2
 days without sleep and now a migraine  i thought life  was meant to be relaxing,0
 there ,1
 sucks    ,0
 whens the sway sway winner announced ,1
 k will check it out   ,1
 doing pretty well  up and wide awake,2
i want to wake up early  and get a coffee tomorrow  today     it s going to be a busyy day  but have to keep writing   booo whoo ,1
i miss daddy and mommy,0
my dog is officially depressed that my brother s dogs are gone  he doesn t want to go outside and when we did  he play half heartedly ,0
i just realized that i can t forward text msgs with my iphone ,1
my frist post    off to find a new car for my parents  exciting ,2
argh noo  missed the killers on wossy   that sucks  missed out on brandon  total failure  anyone know if it s repeated  must investigate ,0
seriously bored without anyone to talk to    but not tired enough for sleep,0
 i am lost  please help me find a good home ,0
it s a peter   gordon morning     and i  go to pieces and i wanna hide   go to pieces and i almost die   ever      ,1
ok so i ve now got a bit of a bad back after lifting all drum hardware into my car   downer ,0
 lmao    smh   that one threw me off ,1
 oh nice going ,2
is getting ready for work    working all weekend,1
gonna celebrate mothers day with the family but gonna start the partying tonite,2
 i agree with you ,2
 i only do computers  am hopeless at everything else,0
 degrees  gross skies  and thunderstorms   perfect match for my mood  lol,2
 aww thanks ,2
 sorry rb is on  for me,0
i saw amazing heeels  but they were too big,1
i just stuck my finger down my throat and there are a bunch of bumps on my tongue   throat ,0
dang last url went down    ,0
 ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now       time difference,0
 damnit all  that sucks   you were one of the ones i thought i d drag back lol,0
 my boss  she s moving to nyc,1
this is sooo crazy i have fever  ,0
is spending her saturday morning taking notes for a research essay because some stupid      recalled the book i m using  not fair,0
i think i need some new friends,1
 looking forward to your gig in ireland     see ya there ,1
please review sunehre ad placement  ,2
aww  you loooove me,2
is hungry  twitter   i want food    ,1
awesome lucky you,2
 yea  i should know   but tell me everything   ps  send me direct messages telling     haha,1
 haha im jewish  i love that one,2
had a great time out in the beer garden wit the boyos    i think the sun got to me a bit though  feel a bit ill   ,1
 l m on  days too matt  no fun this weekend ,0
 u really don t think so   maybe ur right    lol  btw what phone u using  think u told me    i might have an app for u,1
 i feel your pain  mine is the same way,0
comes home in two days,1
 sadly no  it didn t come with one   ,0
cant wait to see my boy tomorrow,2
 ehhh no  just a check up  i have a dentist app next week though  getting my molar pulled root canal ,1
 aww i miss driving down elmwood,0
omg wango tango was      awsome  i love my baby for taking me,2
version  of our live  interactive trans siberian ticket planner is launched     its very cool,2
 i really wish i could go ,2
 yeah real hard  but i know you ll get by with it    smile,1
 i m  in december that s not good at all next big birthday is   after  it flys by for sure,0
  this has made my night    way too funny  ,2
woo cavs   happy mother s day ,2
 i make that same face when i get home and your mom is watching soaps ,1
i have to go to work now ,1
 i can t believe you went and got boba without me ,1
  and to you too  how are you today ,1
 thanks for the warm welcome  we didn t make plans   because our arrival time was so up in the air ,2
 days and counting,1
 sorry  friends   i m swamped with deadlines right now and we have family visiting to boot  no charades for me ,0
brainfreeze,1
just discovered a shortcoming of gravity  when you use twitpic  integrated  it doesn t subtract the pic url from the  character limit,1
my sunburn is peeling ,0
perky purple nail polish isn t as perky when its chipped,1
   before they put a camera in the smokers pit   i can no longer vandalize that door  without being caught ,1
laying alone   since mook s soo comfy in his f n play pen  i thought it was ill at first now i don t have no one to cuddle with   ,0
i hate the dentist,0
 nothing aimed at you  just joining in   sorry,0
i m taking a twitter break  cell is dying,0
 qood morninq,1
writing my english original writing storyyyyy  and listening to  a little respect  by erasure  aaaaaah ,1
needs more followers,1
i wish i could get my nails done  stupid job,0
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  ,1
 the  no pants  idea could be the new attempt world wide to attract business back to the airlines ,1
 have a good one,2
 yep infact she is popular  miss india   talented film actress      and lot more,2
dosen t want to go to work tomorrow,0
daniel has won dsds  his voice is great ,2
 i wish the birthday massacre would come to australia  i think they said they re thinking about it tho   ,1
was hoping to go to red lobster this weekend,1
xatl u mean jack barakat s   wow so have u ever gone to his house  hehe i mean ur ssoo lucky to have the address ,2
i sure do hope it becomes   this afternoon    ,2
 it means that you are now famous  congrats ,2
my phone passed away yesterday   he jumped off the table  searching for a new phone   ,0
i have such fantastic friends  including several ones met through here  thanks for being in my life   you are such amazing people ,2
tamlyn wishes she was as cool as my sock draw,2
 so no rice or crusty bread with the chili      aawww,1
  we are of like minds this evening   my dear ,1
come and save me from my packing please  ,1
yes  i love tea  if that makes me typically english then so be it,2
 a mouth for sure,2
 i finally just have  hour of history    at   pm  but i went to my highschool at   am to make some homework with a friend,1
 pancakes   with lemon and sugar thanks ,2
 si  no bueno  i guess i just don t entertain him   ,0
i m so hunrgy right now and these heels kill me i can hardly walk in them,0
both electronic keys stopped working  there is no keyhole  cant get in my car  so much for technology,0
 yay  three followers  good to know more than one person in this big wide world likes fishies ,2
 my name is tony          not hey         poor tony,0
goodmorning,2
took a shift tomorrow     i don t really feel like working right now ,0
 i love mine  too   happy motherã â â½s day to your mom   john taylor    much love to you  too  ,2
saw a black snake in the garden   went back for a picture and it was gone,1
   we bought ludi her own rug  dogs are the best,2
no waterfront anymore   faccia luna and clarendon will have to do,0
loves her mum very much  happy mothers day to all the wonderful mothers out there,2
slipped up and caught the flu  feeling like poop ,0
i have an urge to play wow but i have to wait  weeks til im at my dads    til mcfly  im so excited   l ,2
ok     the passengers     no one is alive     they re all dead     you just don t know it til the end     then you cry    ,0
discovered  and  are sharing on g reader with me and didn t even know it  sigh     i m such a g reader newb ,1
is chilled out tonite  so cannot spew venom or write funny  seems like these are the only  styles she has,1
 if u do  please pray  me   lord knows i need it ,1
aaaaaw i want to live in the usa,1
morning tweeple,2
 hey  i didn t get any    ,1
 now you only have  hours to sleep       rest if you need it ,2
  that makes my day so much better  it s been a rough one  did i mention i love the new photo ,1
i don t want to sit at home on prom night  someone hang out with me,0
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,2
concert tonight  chackin out and not coming tomorrow ,1
 what happened  i thought you were coming back today    ,1
 lol dammit  well then next time then,0
 lol  just don t ever forget me,2
 still jealous,0
   me at forever   ethan couldn t be there,0
now im sad but im not giving in first  i didnt do nothing             ,0
this week of mine was not easy   but finally it s over    ,0
   wow what a beautiful picture    and by the way    i am straight    just wanted to let you know        bella,2
in arch  drawing  checking out mvcc s cad degree  looks good to me,2
  there are people and then there are pencils  some are sharp  some are not and some can be sharpened  my pencil philosophy     ,1
just about to go home  i m usually  mr  positive  but this has been one of those daze  well   mins until tomorrow ,1
 but you always have lee  let s go to paris,1
 you know you want to come keep me company whilst mum s at her friends for the night  it s such a nice evening ,2
cooking with my dad  having lots of fun in the kitchen together,2
bouncing rush makes me feel nauseous,0
off to woolsery this morning to  hopefully  see north molton  clinch the north devon league title  lovely day for it,2
playing singstar without my fave duetter,0
  you re missing out  bb  i m such a cereal nut  i think i like every kind available ,2
 that s just weird        oh  and what was it you were drawing for me ,0
just woke up  o mums singing to her new gn r cd replacement i bought because im a good daughter,2
the birds are out   oh man    that s not cool    i didn t sleep yet for the night   ,0
 miles down  only  to go  thats ok   on the radio alwas helps ,2
my street fighter iv skills are lacking  can t beat seth on easy ,0
 fil  with cool people like me,2
good morning    work and then it s espn s sunday night baseball  hopefully it won t get rained out,2
 i think it s under a honeymoon by the good life    either that or it s under a honey moon by joseph arthur ,1
my son got stung by a bug for the first time  his little finger is slightly swollen ,0
 it was hours ago i came in     and it s only now i realised when i went to buy something online,1
 oh just referring to our lil exchange on lj with regards to twitter archive postings ,1
bumping dj opus in the drunk in the car   lmao  don t act like u don t know ,0
why kiss the feet of the people who kick you when you can be anything that you want to   morning everyone  hope you have the best day ever,2
here s a brief preview     omg james is creepy in that role  i m scared of him,0
i m missing crab legs and attending my going away instead ,0
hicks are mean ,0
gettn ready to take a trip to jersey my dad s not doing so good  he needs a new heart whoeva see s this please say a prayer for my dad,0
back soon  need to run to the shops and cut the grass,1
i m up  i have a plan to transform my bedroom today  random ,1
home until tomorrow  did my running and spinning  now time for chiropractor  laundry  shopping  and visiting family  missing nathan,0
 thats another sponsor,1
 and most of us are going to be stuck in an office  some without windows,0
 no it s not sad  should make you proud,0
   sorry  we ll try to keep it down ,0
is home alone   doing hw,1
according to   a quarter of families under six live in poverty ,0
the plan to not spend money is not going well,0
uploading all my bamboozle pictures of facebook,1
 congratulations   you guys finish a month early than we do  booo,2
 actually  i wish i was back in tahoe   i miss it there ,0
woke up i wanna stay in my bed,1
 but my bday is june    this is wack    and ihavent seen any promotions for my bday party  someone better finagle this asap ,0
 it would be great if those vips were for some acts i d enjoy seeing  but noooo ,1
marie wish i could make it too    i hate my commute sometimes,1
workin a long day today    hopefully i can make some good tips,2
 but it all went too quick and there wasn t a chance lol,0
hates headaches  maybe i m not ready to rock,0
 thanks for the support,2
there s really no android twitter app of tweetie s calibre,1
had a good day driving up mountains  visiting katie  eating chips   fudge and stocking up on lovely smelling soaps,2
nyappy mother s day to your mom s ,2
yeah     and im gonna take ur picture off my ipod baby  ,1
 traumatizing moment of my childhood  my dogs massacred baby bunnies and my brother and i got out the bb gun   ,0
 lol same here    wish there was a way to microsize everything   lol,1
  organization    itil  forget about people  and so they fail   preaching to the converted  it is the people ,0
libertine um  glad you enjoyed it   ,2
about to have dinner and then an evening of playing cards  already packed and ready to head home tomorrow   do we have to go home ,1
 im allergic to cats  my tonsils get swollen and they hurt  what do i dooo  ,0
 he says he feels mama tucking him in at night  he s lonely but getting by  tomorrow will be tough ,0
i miss her alot and its only been one day,0
 sounds like you all had a great night   i m glad it was successful,2
 thanks for sharing that,2
 you should say mlia instead of fml  i hope you find it soon,2
garden going well  almost all the corn and peas are up  no onions or beets up yet though ,2
 nah jkin he s hot  so    bored now,1
ahhh i m sqeaky clean and fresh  even though i m wearing dirty clothes  i love two and a half men   it s amazing ,2
 yes i have read them many times ,1
 cuz you play a grown up on twitter ,1
i am living in ignorance    ,0
 nope    it is telling you that you want cameo creams,1
 awwww  we re gonna miss you ,0
 we quite like worthing its a relaxing place with nice coffee shops and fresh air   and not too many oiks,2
terrible haha  that was new  the fact that he couldn t do it should have cost his part  what kind of spock is that ,1
today was a lovely day  i had fun with  and  this evening ,2
 beto s pizzeria is on banksville rd in i believe the beachview area    sorry to answer like  years later,0
sigh  my sisters bein strange   she came all the way from copenhagen to london  and now her phones turned off   i wanna see her dammit,0
 it was amazing,2
  barbs trying to figure out y the dsl aint connecting  i need my google  going home to my computer if it don t start working soon  smh,1
i m sick and sad      missing out on martini lounge tonight,0
seems really quiet tonight   am jealous of those who are clearly having a more exciting life than me   off to bed i think   ,1
really wishes he had some spare cash to buy the new punch out for wii,0
aw  not going to toronto anymore ,0
 so sorry to hear about your mom  that really sucks,0
 i feel for you  i hope it s a smooth flight  be safe  mucho amor from boston ,2
can t sleep   so i m watching hgtv  i m afraid infomercials are about to take over,0
i m getting me   my family ready for kaylee s graduation  it s gonna make me so sad ,0
 sweet dreams,2
 hay wats ur aim  we should chat,1
  okay kool    i might be touring all summer long but we can make it happen ,1
in pain  my big toe got stomped on during the hokey cokeu  it s throbbing  anyone have any suggestions to heal it ,0
time to watch op  then some dead like me  then sleep ,1
having dinner with my grandma since i couldn t be with my mum ,1
